Mod:Item:MetaData, Localized Name, Unlocalized Name, Is Block?, Class Name
minecraft:wool:12, Коричневая шерсть, tile.cloth.brown, true, net.minecraft.item.ItemStack
minecraft:wool:13, Зелёная шерсть, tile.cloth.green, true, net.minecraft.item.ItemStack
minecraft:wool:14, Красная шерсть, tile.cloth.red, true, net.minecraft.item.ItemStack
minecraft:wool:15, Чёрная шерсть, tile.cloth.black, true, net.minecraft.item.ItemStack
minecraft:yellow_flower:0, Одуванчик, tile.flower1.dandelion, true, net.minecraft.item.ItemStack
minecraft:red_flower:0, Мак, tile.flower2.poppy, true, net.minecraft.item.ItemStack
minecraft:red_flower:1, Синяя орхидея, tile.flower2.blueOrchid, true, net.minecraft.item.ItemStack
minecraft:red_flower:2, Лук-батун, tile.flower2.allium, true, net.minecraft.item.ItemStack
minecraft:red_flower:3, Голубой василёк, tile.flower2.houstonia, true, net.minecraft.item.ItemStack
minecraft:red_flower:4, Красный тюльпан, tile.flower2.tulipRed, true, net.minecraft.item.ItemStack
minecraft:red_flower:5, Оранжевый тюльпан, tile.flower2.tulipOrange, true, net.minecraft.item.ItemStack
minecraft:red_flower:6, Белый тюльпан, tile.flower2.tulipWhite, true, net.minecraft.item.ItemStack
minecraft:red_flower:7, Розовый тюльпан, tile.flower2.tulipPink, true, net.minecraft.item.ItemStack
minecraft:red_flower:8, Ромашка, tile.flower2.oxeyeDaisy, true, net.minecraft.item.ItemStack
minecraft:brown_mushroom, Гриб, tile.mushroom, true, net.minecraft.item.ItemBlock
minecraft:red_mushroom, Гриб, tile.mushroom, true, net.minecraft.item.ItemBlock
minecraft:gold_block, Золотой блок, tile.blockGold, true, net.minecraft.item.ItemBlock
minecraft:iron_block, Железный блок, tile.blockIron, true, net.minecraft.item.ItemBlock
minecraft:stone_slab:0, Каменная плита, tile.stoneSlab.stone, true, net.minecraft.item.ItemStack
minecraft:stone_slab:1, Песчаниковая плита, tile.stoneSlab.sand, true, net.minecraft.item.ItemStack
minecraft:stone_slab:3, Булыжная плита, tile.stoneSlab.cobble, true, net.minecraft.item.ItemStack
minecraft:stone_slab:4, Кирпичная плита, tile.stoneSlab.brick, true, net.minecraft.item.ItemStack
minecraft:stone_slab:5, Плита из каменных кирпичей, tile.stoneSlab.smoothStoneBrick, true, net.minecraft.item.ItemStack
minecraft:stone_slab:6, Незеритовая плита, tile.stoneSlab.netherBrick, true, net.minecraft.item.ItemStack
minecraft:stone_slab:7, Кварцевая плита, tile.stoneSlab.quartz, true, net.minecraft.item.ItemStack
minecraft:brick_block, Кирпичи, tile.brick, true, net.minecraft.item.ItemBlock
minecraft:tnt, Динамит, tile.tnt, true, net.minecraft.item.ItemBlock
minecraft:bookshelf, Книжная полка из дуба, tile.oak_bookshelf, true, net.minecraft.item.ItemBlock
minecraft:mossy_cobblestone, Замшелый булыжник, tile.stoneMoss, true, net.minecraft.item.ItemBlock
minecraft:obsidian, Обсидиан, tile.obsidian, true, net.minecraft.item.ItemBlock
minecraft:torch, Факел, tile.torch, true, net.minecraft.item.ItemBlock
minecraft:mob_spawner, Рассадник монстров, tile.mobSpawner, true, net.minecraft.item.ItemBlock
minecraft:oak_stairs, Дубовые ступеньки, tile.stairsWood, true, net.minecraft.item.ItemBlock
minecraft:chest, Сундук, tile.chest, true, net.minecraft.item.ItemBlock
minecraft:diamond_ore, Алмазная руда, tile.oreDiamond, true, net.minecraft.item.ItemBlock
minecraft:diamond_block, Алмазный блок, tile.blockDiamond, true, net.minecraft.item.ItemBlock
minecraft:crafting_table, Верстак, tile.workbench, true, net.minecraft.item.ItemBlock
minecraft:farmland, Пашня, tile.farmland, true, net.minecraft.item.ItemBlock
minecraft:furnace, Печь, tile.furnace, true, net.minecraft.item.ItemBlock
minecraft:ladder, Лестница, tile.ladder, true, net.minecraft.item.ItemBlock
minecraft:rail, Рельсы, tile.rail, true, net.minecraft.item.ItemBlock
minecraft:stone_stairs, Булыжные ступеньки, tile.stairsStone, true, net.minecraft.item.ItemBlock
minecraft:lever, Рычаг, tile.lever, true, net.minecraft.item.ItemBlock
minecraft:stone_pressure_plate, Каменная нажимная плита, tile.pressurePlateStone, true, net.minecraft.item.ItemBlock
minecraft:wooden_pressure_plate, Деревянная нажимная плита, tile.pressurePlateWood, true, net.minecraft.item.ItemBlock
minecraft:redstone_ore, Редстоуновая руда, tile.oreRedstone, true, net.minecraft.item.ItemBlock
minecraft:redstone_torch, Редстоуновый факел, tile.notGate, true, net.minecraft.item.ItemBlock
minecraft:stone_button, Кнопка, tile.button, true, net.minecraft.item.ItemBlock
minecraft:snow_layer, Снег, tile.snow, true, net.minecraft.item.ItemSnow
minecraft:ice, Лёд, tile.ice, true, net.minecraft.item.ItemBlock
minecraft:snow, Снег, tile.snow, true, net.minecraft.item.ItemBlock
minecraft:cactus, Кактус, tile.cactus, true, net.minecraft.item.ItemBlock
minecraft:clay, Глина, tile.clay, true, net.minecraft.item.ItemBlock
minecraft:jukebox, Проигрыватель, tile.jukebox, true, net.minecraft.item.ItemBlock
minecraft:fence, Дубовый забор, tile.fence, true, net.minecraft.item.ItemBlock
minecraft:pumpkin, Тыква, tile.pumpkin, true, net.minecraft.item.ItemBlock
minecraft:netherrack, Незерит, tile.hellrock, true, net.minecraft.item.ItemBlock
minecraft:soul_sand, Песок душ, tile.hellsand, true, net.minecraft.item.ItemBlock
minecraft:glowstone, Светокамень, tile.lightgem, true, net.minecraft.item.ItemBlock
minecraft:lit_pumpkin, Светильник Джека, tile.litpumpkin, true, net.minecraft.item.ItemBlock
minecraft:stained_glass:0, Белое стекло, tile.stainedGlass.white, true, net.minecraft.item.ItemStack
minecraft:stained_glass:1, Оранжевое стекло, tile.stainedGlass.orange, true, net.minecraft.item.ItemStack
minecraft:stained_glass:2, Пурпурное стекло, tile.stainedGlass.magenta, true, net.minecraft.item.ItemStack
minecraft:stained_glass:3, Голубое стекло, tile.stainedGlass.lightBlue, true, net.minecraft.item.ItemStack
minecraft:stained_glass:4, Жёлтое стекло, tile.stainedGlass.yellow, true, net.minecraft.item.ItemStack
minecraft:stained_glass:5, Лаймовое стекло, tile.stainedGlass.lime, true, net.minecraft.item.ItemStack
minecraft:stained_glass:6, Розовое стекло, tile.stainedGlass.pink, true, net.minecraft.item.ItemStack
minecraft:stained_glass:7, Серое стекло, tile.stainedGlass.gray, true, net.minecraft.item.ItemStack
minecraft:stained_glass:8, Светло-серое стекло, tile.stainedGlass.silver, true, net.minecraft.item.ItemStack
minecraft:stained_glass:9, Бирюзовое стекло, tile.stainedGlass.cyan, true, net.minecraft.item.ItemStack
minecraft:stained_glass:10, Фиолетовое стекло, tile.stainedGlass.purple, true, net.minecraft.item.ItemStack
minecraft:stained_glass:11, Синее стекло, tile.stainedGlass.blue, true, net.minecraft.item.ItemStack
minecraft:stained_glass:12, Коричневое стекло, tile.stainedGlass.brown, true, net.minecraft.item.ItemStack
minecraft:stained_glass:13, Зелёное стекло, tile.stainedGlass.green, true, net.minecraft.item.ItemStack
minecraft:stained_glass:14, Красное стекло, tile.stainedGlass.red, true, net.minecraft.item.ItemStack
minecraft:stained_glass:15, Чёрное стекло, tile.stainedGlass.black, true, net.minecraft.item.ItemStack
minecraft:trapdoor, Люк, tile.trapdoor, true, net.minecraft.item.ItemBlock
minecraft:monster_egg:0, Камень с монстрами, tile.monsterStoneEgg.stone, true, net.minecraft.item.ItemStack
minecraft:monster_egg:1, Булыжник с монстрами, tile.monsterStoneEgg.cobble, true, net.minecraft.item.ItemStack
minecraft:monster_egg:2, Каменный кирпич с монстрами, tile.monsterStoneEgg.brick, true, net.minecraft.item.ItemStack
minecraft:monster_egg:3, Замшелый каменный кирпич с монстрами, tile.monsterStoneEgg.mossybrick, true, net.minecraft.item.ItemStack
minecraft:monster_egg:4, Потрескавшийся каменный кирпич с монстрами, tile.monsterStoneEgg.crackedbrick, true, net.minecraft.item.ItemStack
minecraft:monster_egg:5, Резной каменный кирпич с монстрами, tile.monsterStoneEgg.chiseledbrick, true, net.minecraft.item.ItemStack
minecraft:stonebrick:0, Каменные кирпичи, tile.stonebricksmooth.default, true, net.minecraft.item.ItemStack
minecraft:stonebrick:1, Замшелые каменные кирпичи, tile.stonebricksmooth.mossy, true, net.minecraft.item.ItemStack
minecraft:stonebrick:2, Потрескавшиеся каменные кирпичи, tile.stonebricksmooth.cracked, true, net.minecraft.item.ItemStack
minecraft:stonebrick:3, Резные каменные кирпичи, tile.stonebricksmooth.chiseled, true, net.minecraft.item.ItemStack
minecraft:brown_mushroom_block, Гриб, tile.mushroom, true, net.minecraft.item.ItemBlock
minecraft:red_mushroom_block, Гриб, tile.mushroom, true, net.minecraft.item.ItemBlock
minecraft:iron_bars, Железные прутья, tile.fenceIron, true, net.minecraft.item.ItemBlock
minecraft:glass_pane, Стеклянная панель, tile.thinGlass, true, net.minecraft.item.ItemBlock
minecraft:melon_block, Арбуз, tile.melon, true, net.minecraft.item.ItemBlock
minecraft:vine, Лианы, tile.vine, true, net.minecraft.item.ItemColored
minecraft:fence_gate, Дубовая калитка, tile.fenceGate, true, net.minecraft.item.ItemBlock
minecraft:brick_stairs, Кирпичные ступеньки, tile.stairsBrick, true, net.minecraft.item.ItemBlock
minecraft:stone_brick_stairs, Ступеньки из каменного кирпича, tile.stairsStoneBrickSmooth, true, net.minecraft.item.ItemBlock
minecraft:mycelium, Мицелий, tile.mycel, true, net.minecraft.item.ItemBlock
minecraft:waterlily, Кувшинка, tile.waterlily, true, net.minecraft.item.ItemLilyPad
minecraft:nether_brick, Незеритовые кирпичи, tile.netherBrick, true, net.minecraft.item.ItemBlock
minecraft:nether_brick_fence, Незеритовый забор, tile.netherFence, true, net.minecraft.item.ItemBlock
minecraft:nether_brick_stairs, Незеритовые ступеньки, tile.stairsNetherBrick, true, net.minecraft.item.ItemBlock
minecraft:enchanting_table, Чародейский стол, tile.enchantmentTable, true, net.minecraft.item.ItemBlock
minecraft:end_portal_frame, Портал в Энд, tile.endPortalFrame, true, net.minecraft.item.ItemBlock
minecraft:end_stone, Эндерняк, tile.whiteStone, true, net.minecraft.item.ItemBlock
minecraft:dragon_egg, Яйцо дракона, tile.dragonEgg, true, net.minecraft.item.ItemBlock
minecraft:redstone_lamp, Редстоуновый фонарь, tile.redstoneLight, true, net.minecraft.item.ItemBlock
minecraft:wooden_slab:0, Дубовая плита, tile.woodSlab.oak, true, net.minecraft.item.ItemStack
minecraft:wooden_slab:1, Еловая плита, tile.woodSlab.spruce, true, net.minecraft.item.ItemStack
minecraft:wooden_slab:2, Берёзовая плита, tile.woodSlab.birch, true, net.minecraft.item.ItemStack
minecraft:wooden_slab:3, Плита из тропического дерева, tile.woodSlab.jungle, true, net.minecraft.item.ItemStack
minecraft:wooden_slab:4, Акациевая плита, tile.woodSlab.acacia, true, net.minecraft.item.ItemStack
minecraft:wooden_slab:5, Плита из тёмного дуба, tile.woodSlab.big_oak, true, net.minecraft.item.ItemStack
minecraft:sandstone_stairs, Песчаниковые ступеньки, tile.stairsSandStone, true, net.minecraft.item.ItemBlock
minecraft:emerald_ore, Изумрудная руда, tile.oreEmerald, true, net.minecraft.item.ItemBlock
minecraft:ender_chest, Эндер-сундук, tile.enderChest, true, net.minecraft.item.ItemBlock
minecraft:tripwire_hook, Крюк, tile.tripWireSource, true, net.minecraft.item.ItemBlock
minecraft:emerald_block, Изумрудный блок, tile.blockEmerald, true, net.minecraft.item.ItemBlock
minecraft:spruce_stairs, Еловые ступеньки, tile.stairsWoodSpruce, true, net.minecraft.item.ItemBlock
minecraft:birch_stairs, Берёзовые ступеньки, tile.stairsWoodBirch, true, net.minecraft.item.ItemBlock
minecraft:jungle_stairs, Ступеньки из тропического дерева, tile.stairsWoodJungle, true, net.minecraft.item.ItemBlock
minecraft:command_block, Командный блок, tile.commandBlock, true, net.minecraft.item.ItemBlock
minecraft:beacon, Маяк, tile.beacon, true, net.minecraft.item.ItemBlock
minecraft:cobblestone_wall:0, Булыжная ограда, tile.cobbleWall.normal, true, net.minecraft.item.ItemStack
minecraft:cobblestone_wall:1, Замшелая булыжная ограда, tile.cobbleWall.mossy, true, net.minecraft.item.ItemStack
minecraft:wooden_button, Кнопка, tile.button, true, net.minecraft.item.ItemBlock
minecraft:anvil:0, Наковальня, tile.anvil.intact, true, net.minecraft.item.ItemStack
minecraft:anvil:1, Повреждённая наковальня, tile.anvil.slightlyDamaged, true, net.minecraft.item.ItemStack
minecraft:anvil:2, Сильно повреждённая наковальня, tile.anvil.veryDamaged, true, net.minecraft.item.ItemStack
minecraft:trapped_chest, Сундук-ловушка, tile.chestTrap, true, net.minecraft.item.ItemBlock
minecraft:light_weighted_pressure_plate, Весовая пластина, tile.weightedPlate_light, true, net.minecraft.item.ItemBlock
minecraft:heavy_weighted_pressure_plate, Большегрузная весовая пластина, tile.weightedPlate_heavy, true, net.minecraft.item.ItemBlock
minecraft:daylight_detector, Датчик дневного света, tile.daylightDetector, true, net.minecraft.item.ItemBlock
minecraft:redstone_block, Редстоуновый блок, tile.blockRedstone, true, net.minecraft.item.ItemBlock
minecraft:quartz_ore, Незер-кварцевая руда, tile.netherquartz, true, net.minecraft.item.ItemBlock
minecraft:hopper, Воронка, tile.hopper, true, net.minecraft.item.ItemBlock
minecraft:quartz_block:0, Кварцевый блок, tile.quartzBlock.default, true, net.minecraft.item.ItemStack
minecraft:quartz_block:1, Резной кварцевый блок, tile.quartzBlock.chiseled, true, net.minecraft.item.ItemStack
minecraft:quartz_block:2, Кварцевая колонна, tile.quartzBlock.lines, true, net.minecraft.item.ItemStack
minecraft:quartz_stairs, Кварцевые ступеньки, tile.stairsQuartz, true, net.minecraft.item.ItemBlock
minecraft:activator_rail, Активирующие рельсы, tile.activatorRail, true, net.minecraft.item.ItemBlock
minecraft:dropper, Выбрасыватель, tile.dropper, true, net.minecraft.item.ItemBlock
minecraft:stained_hardened_clay:0, Белая керамика, tile.clayHardenedStained.white, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:1, Оранжевая керамика, tile.clayHardenedStained.orange, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:2, Пурпурная керамика, tile.clayHardenedStained.magenta, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:3, Голубая керамика, tile.clayHardenedStained.lightBlue, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:4, Жёлтая керамика, tile.clayHardenedStained.yellow, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:5, Лаймовая керамика, tile.clayHardenedStained.lime, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:6, Розовая керамика, tile.clayHardenedStained.pink, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:7, Серая керамика, tile.clayHardenedStained.gray, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:8, Светло-серая керамика, tile.clayHardenedStained.silver, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:9, Бирюзовая керамика, tile.clayHardenedStained.cyan, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:10, Фиолетовая керамика, tile.clayHardenedStained.purple, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:11, Синяя керамика, tile.clayHardenedStained.blue, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:12, Коричневая керамика, tile.clayHardenedStained.brown, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:13, Зелёная керамика, tile.clayHardenedStained.green, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:14, Красная керамика, tile.clayHardenedStained.red, true, net.minecraft.item.ItemStack
minecraft:stained_hardened_clay:15, Чёрная керамика, tile.clayHardenedStained.black, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:0, Белая стеклянная панель, tile.thinStainedGlass.white, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:1, Оранжевая стеклянная панель, tile.thinStainedGlass.orange, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:2, Пурпурная стеклянная панель, tile.thinStainedGlass.magenta, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:3, Голубая стеклянная панель, tile.thinStainedGlass.lightBlue, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:4, Жёлтая стеклянная панель, tile.thinStainedGlass.yellow, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:5, Лаймовая стеклянная панель, tile.thinStainedGlass.lime, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:6, Розовая стеклянная панель, tile.thinStainedGlass.pink, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:7, Серая стеклянная панель, tile.thinStainedGlass.gray, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:8, Светло-серая стеклянная панель, tile.thinStainedGlass.silver, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:9, Бирюзовая стеклянная панель, tile.thinStainedGlass.cyan, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:10, Фиолетовая стеклянная панель, tile.thinStainedGlass.purple, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:11, Синяя стеклянная панель, tile.thinStainedGlass.blue, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:12, Коричневая стеклянная панель, tile.thinStainedGlass.brown, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:13, Зелёная стеклянная панель, tile.thinStainedGlass.green, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:14, Красная стеклянная панель, tile.thinStainedGlass.red, true, net.minecraft.item.ItemStack
minecraft:stained_glass_pane:15, Чёрная стеклянная панель, tile.thinStainedGlass.black, true, net.minecraft.item.ItemStack
minecraft:leaves2:0, Листья акации, tile.leaves.acacia, true, net.minecraft.item.ItemStack
minecraft:leaves2:1, Листья тёмного дуба, tile.leaves.big_oak, true, net.minecraft.item.ItemStack
minecraft:log2:0, Акация, tile.log.acacia, true, net.minecraft.item.ItemStack
minecraft:log2:1, Тёмный дуб, tile.log.big_oak, true, net.minecraft.item.ItemStack
minecraft:acacia_stairs, Акациевые ступеньки, tile.stairsWoodAcacia, true, net.minecraft.item.ItemBlock
minecraft:dark_oak_stairs, Ступеньки из тёмного дуба, tile.stairsWoodDarkOak, true, net.minecraft.item.ItemBlock
minecraft:slime, Блок слизи, tile.slime, true, net.minecraft.item.ItemBlock
minecraft:barrier, Барьер, tile.barrier, true, net.minecraft.item.ItemBlock
minecraft:iron_trapdoor, Железный люк, tile.ironTrapdoor, true, net.minecraft.item.ItemBlock
minecraft:prismarine:0, Призмарин, tile.prismarine.rough, true, net.minecraft.item.ItemStack
minecraft:prismarine:1, Призмариновые кирпичи, tile.prismarine.bricks, true, net.minecraft.item.ItemStack
minecraft:prismarine:2, Тёмный призмарин, tile.prismarine.dark, true, net.minecraft.item.ItemStack
minecraft:sea_lantern, Морской фонарь, tile.seaLantern, true, net.minecraft.item.ItemBlock
minecraft:hay_block, Сноп сена, tile.hayBlock, true, net.minecraft.item.ItemBlock
minecraft:carpet:0, Белый ковёр, tile.woolCarpet.white, true, net.minecraft.item.ItemStack
minecraft:carpet:1, Оранжевый ковёр, tile.woolCarpet.orange, true, net.minecraft.item.ItemStack
minecraft:carpet:2, Пурпурный ковёр, tile.woolCarpet.magenta, true, net.minecraft.item.ItemStack
minecraft:carpet:3, Голубой ковёр, tile.woolCarpet.lightBlue, true, net.minecraft.item.ItemStack
minecraft:carpet:4, Жёлтый ковёр, tile.woolCarpet.yellow, true, net.minecraft.item.ItemStack
minecraft:carpet:5, Лаймовый ковёр, tile.woolCarpet.lime, true, net.minecraft.item.ItemStack
minecraft:carpet:6, Розовый ковёр, tile.woolCarpet.pink, true, net.minecraft.item.ItemStack
minecraft:carpet:7, Серый ковёр, tile.woolCarpet.gray, true, net.minecraft.item.ItemStack
minecraft:carpet:8, Светло-серый ковёр, tile.woolCarpet.silver, true, net.minecraft.item.ItemStack
minecraft:carpet:9, Бирюзовый ковёр, tile.woolCarpet.cyan, true, net.minecraft.item.ItemStack
minecraft:carpet:10, Фиолетовый ковёр, tile.woolCarpet.purple, true, net.minecraft.item.ItemStack
minecraft:carpet:11, Синий ковёр, tile.woolCarpet.blue, true, net.minecraft.item.ItemStack
minecraft:carpet:12, Коричневый ковёр, tile.woolCarpet.brown, true, net.minecraft.item.ItemStack
minecraft:carpet:13, Зелёный ковёр, tile.woolCarpet.green, true, net.minecraft.item.ItemStack
minecraft:carpet:14, Красный ковёр, tile.woolCarpet.red, true, net.minecraft.item.ItemStack
minecraft:carpet:15, Чёрный ковёр, tile.woolCarpet.black, true, net.minecraft.item.ItemStack
minecraft:hardened_clay, Терракота, tile.clayHardened, true, net.minecraft.item.ItemBlock
minecraft:coal_block, Угольный блок, tile.blockCoal, true, net.minecraft.item.ItemBlock
minecraft:packed_ice, Плотный лёд, tile.icePacked, true, net.minecraft.item.ItemBlock
minecraft:double_plant:0, Подсолнух, tile.doublePlant.sunflower, true, net.minecraft.item.ItemStack
minecraft:double_plant:1, Сирень, tile.doublePlant.syringa, true, net.minecraft.item.ItemStack
minecraft:double_plant:2, Высокая трава, tile.doublePlant.grass, true, net.minecraft.item.ItemStack
minecraft:double_plant:3, Раскидистый папоротник, tile.doublePlant.fern, true, net.minecraft.item.ItemStack
minecraft:double_plant:4, Розовый куст, tile.doublePlant.rose, true, net.minecraft.item.ItemStack
minecraft:double_plant:5, Пион, tile.doublePlant.paeonia, true, net.minecraft.item.ItemStack
